FUNC_LOOPS_FOR	ast-grep+dylint	Reject	UseIteratorPipeline	for $LOOP in $ITER { ... }	Rejects imperative `for` loops in production source.
FUNC_LOOPS_WHILE	ast-grep+dylint	Reject	UseIteratorPipeline	while $COND { ... }	Rejects imperative while loops in production source.
FUNC_LOOPS_LOOP	ast-grep+dylint	Reject	UseIteratorPipeline	loop { ... }	Rejects open-ended loop blocks in production source.
FUNC_NESTING_DEPTH	ast-grep	Reject	FlattenNesting	nesting depth > 2	Rejects deeply nested production control flow.
FUNC_RECURSION_DIRECT	ast-grep	Reject	RequiresHumanReview	function calls itself	Rejects direct recursion in production source.
FUNC_PRINT_STDOUT	ast-grep	Reject	RequiresHumanReview	print! or println!	Rejects stdout printing in production source.
FUNC_PRINT_STDERR	ast-grep	Reject	RequiresHumanReview	eprint! or eprintln!	Rejects stderr printing in production source.
FUNC_WILDCARD_IMPORT	ast-grep	Informational	RequiresHumanReview	use $PATH::*	Reports wildcard imports for human review.
FUNC_UNWRAP_USED	dylint	Reject	RequiresHumanReview	unwrap()	Rejects panic-prone unwrap calls in production source.
FUNC_EXPECT_USED	dylint	Reject	RequiresHumanReview	expect(...)	Rejects panic-prone expect calls in production source.
FUNC_UNWRAP_OR	ast-grep+dylint	Reject	RequiresHumanReview	unwrap_or / unwrap_or_else / unwrap_or_default	Rejects hidden default recovery through unwrap_or variants.
FUNC_RESULT_STRING	ast-grep	Reject	RequiresHumanReview	Result<T, String>	Rejects stringly typed core errors.
BYPASS_ALLOW_ATTR	ast-grep	Reject	RemoveAllowAttribute	#[allow(...)]	Rejects item-level allow suppressions.
BYPASS_EXPECT_ATTR	ast-grep	Reject	RemoveAllowAttribute	#[expect(...)]	Rejects item-level expect suppressions.
BYPASS_CFG_ATTR_ALLOW	ast-grep	Reject	RequiresHumanReview	cfg_attr(..., allow(...))	Rejects conditional allow suppressions.
BYPASS_CRATE_ALLOW	ast-grep	Reject	RemoveAllowAttribute	#![allow(...)]	Rejects crate-level allow suppressions.
BYPASS_CRATE_EXPECT	ast-grep	Reject	RemoveAllowAttribute	#![expect(...)]	Rejects crate-level expect suppressions.
BYPASS_INLINE_SUPPRESSION	ast-grep	Reject	RequiresHumanReview	ast-grep-ignore or sg-ignore	Rejects inline structural-scan suppression comments.
ARCHITECTURE_IMPORT_CORE_INFRA	ast-grep	Reject	ReplaceDependency	core/domain imports infrastructure	Rejects infrastructure imports from core/domain code.
ARCHITECTURE_IMPORT_CORE_FS	ast-grep	Reject	RequiresHumanReview	core/domain imports std::fs/env/net	Rejects direct filesystem, environment, or network imports from core/domain code.
ARCHITECTURE_IMPORT_CORE_TIME	ast-grep	Reject	RequiresHumanReview	core/domain imports SystemTime or Instant	Rejects direct wall-clock reads from core/domain code.
ARCHITECTURE_IMPORT_CORE_RANDOM	ast-grep	Reject	RequiresHumanReview	core/domain imports random source	Rejects direct entropy reads from core/domain code.
BYPASS_PUB_ALLOW	dylint	Reject	RequiresHumanReview	#[allow(...)] on pub item	Rejects public API items with local allow suppressions.
BYPASS_REQUIRED_LINT_WEAKENING	dylint	Reject	RequiresHumanReview	#![allow(...)] for required lint	Rejects crate-level weakening of mandatory Titania lint policy.
BYPASS_ATTR_CONTEXT	dylint	Reject	RequiresHumanReview	macro-expanded #[allow(...)] on pub item	Rejects public allow attributes produced by macro expansion.
BYPASS_INTERNAL_UNSTABLE	dylint	Reject	RequiresHumanReview	#[allow_internal_unstable(...)]	Rejects macro escape hatches for unstable internals.
BYPASS_INTERNAL_UNSAFE	dylint	Reject	RequiresHumanReview	#[allow_internal_unsafe]	Rejects macro escape hatches for unsafe internals.
DYLINT_INFRA_FAILURE	dylint	Reject	RequiresHumanReview	dylint infrastructure failure	Reports Dylint infrastructure failures.
BYPASS_CARGO_LINTS_WEAKENING	policy-scan	Reject	RequiresHumanReview	Cargo.toml [lints] weakening	Rejects Cargo lint policy weakening.
BYPASS_CARGO_CONFIG_FLAGS	policy-scan	Reject	RequiresHumanReview	.cargo/config rustflags	Rejects unexpected Cargo rustflags.
BYPASS_CARGO_CONFIG_WRAPPER	policy-scan	Reject	RequiresHumanReview	.cargo/config rustc-wrapper	Rejects unexpected rustc wrapper configuration.
BYPASS_CARGO_CONFIG_PARENT	policy-scan	Reject	RequiresHumanReview	parent .cargo/config	Rejects inherited parent Cargo configuration.
BYPASS_ENV_RUSTFLAGS	policy-scan	Reject	RequiresHumanReview	RUSTFLAGS	Rejects runtime RUSTFLAGS bypasses.
BYPASS_ENV_CARGO_ENCODED_RUSTFLAGS	policy-scan	Reject	RequiresHumanReview	CARGO_ENCODED_RUSTFLAGS	Rejects runtime encoded rustflags bypasses.
BYPASS_ENV_RUSTC_WRAPPER	policy-scan	Reject	RequiresHumanReview	RUSTC_WRAPPER	Rejects runtime rustc wrapper bypasses.
BYPASS_ENV_RUSTC_WORKSPACE_WRAPPER	policy-scan	Reject	RequiresHumanReview	RUSTC_WORKSPACE_WRAPPER	Rejects runtime workspace wrapper bypasses.
BYPASS_ENV_RUSTC_BOOTSTRAP	policy-scan	Reject	RequiresHumanReview	RUSTC_BOOTSTRAP	Rejects RUSTC_BOOTSTRAP bypasses.
POLICY_EXCEPTION_READ_ERROR	policy-scan	Reject	RequiresHumanReview	exceptions.toml read error	Reports unreadable policy exception ledgers.
